Assets,Bank Name,Address,City,State,ZIP,URL,County,Parent Holding Company,Region
"$245,796,000",Community Commerce Bank,358 W Foothill Blvd,Claremont,California,91711,http://www.ccombank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$235,610,000",Commerce National Bank,"4040 Macarthur Boulevard, Suite 100",Newport Beach,California,92660,www.commercenatbank.com,Orange, ,"Los Angeles-Long Beach-Anaheim, CA"
"$234,049,000",Bank of Santa Clarita,23780 Magic Mountain Parkway,Santa Clarita,California,91355,http://www.bankofsantaclarita.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$225,484,000",AltaPacific Bank,"3725 Westwind Blvd, Suite 100",Santa Rosa,California,95403,www.apbconnect.com,Sonoma,Altapacific Bancorp,"Santa Rosa, CA"
"$222,182,000","New OMNI Bank, National Association",1235 South Garfield Avenue,Alhambra,California,91801,http://newomnibank.com,Los Angeles,"Ckh Capital, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$216,963,000","Gateway Bank, F.S.B.",919 Clement Street,San Francisco,California,94118,www.gatewayfsb.com,San Francisco, ,"San Francisco-Oakland-Hayward, CA"
"$214,916,000",Liberty Bank,500 Linden Avenue,South San Francisco,California,94080,http://www.libertybk.com,San Mateo,Liberty Bancorp,"San Francisco-Oakland-Hayward, CA"
"$212,499,000",Fresno First Bank,"7690 N. Palm Avenue, Ste. 101",Fresno,California,93711,www.fresnofirstbank.com,Fresno, ,"Fresno, CA"
"$210,520,000",Monterey County Bank,601 Munras Avenue,Monterey,California,93940,http://montereycountybank.com,Monterey,"Northern California Bancorp, Inc.","Salinas, CA"
"$203,442,000",Balboa Thrift and Loan Association,865 Amena Court,Chula Vista,California,91910,http://www.balboathrift.com,San Diego, ,"San Diego-Carlsbad, CA"
"$202,998,000",Community 1st Bank,649 Lincoln Way,Auburn,California,95603,www.community1bank.com,Placer, ,"Sacramento-Roseville-Arden-Arcade, CA"
"$202,921,000",County Commerce Bank,3260 Telegraph Road,Ventura,California,93003,http://www.countycommercebank.com,Ventura, ,"Oxnard-Thousand Oaks-Ventura, CA"
"$200,080,000",New Resource Bank,"405 Howard Street, Suite 110",San Francisco,California,94105,http://www.newresourcebank.com,San Francisco, ,"San Francisco-Oakland-Hayward, CA"
"$195,393,000",Commercial Bank of California,"695 Town Center Drive, Suite 100",Costa Mesa,California,92626,http://WWW.COMBANCAL.COM,Orange, ,"Los Angeles-Long Beach-Anaheim, CA"
"$194,256,000",Pacific Valley Bank,422 Main Street,Salinas,California,93901,http://www.pacificvalleybank.com,Monterey, ,"Salinas, CA"
"$193,784,000",EH National Bank,9701 Wilshire Boulevard,Beverly Hills,California,90210,http://www.ehnbank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$193,067,000","Bank of Southern California, N.A.","12265 El Camino Real, Suite 100",San Diego,California,92130,http://www.banksocal.com,San Diego, ,"San Diego-Carlsbad, CA"
"$188,396,000",Orange County Business Bank,"17901 Von Karman Avenue, Suite 150",Irvine,California,92614,http://ocbusinessbank.com,Orange, ,"Los Angeles-Long Beach-Anaheim, CA"
"$188,337,000",The Merchants National Bank of Sacramento,1015 Seventh Street,Sacramento,California,95814,http://www.merchantsnational.com,Sacramento,Merchants Holding Company,"Sacramento-Roseville-Arden-Arcade, CA"
"$187,321,000",Summit Bank,2969 Broadway,Oakland,California,94611,www.summitbanking.com,Alameda,"Summit Bancshares, Inc.","San Francisco-Oakland-Hayward, CA"
"$180,188,000",American Riviera Bank,1033 Anacapa Street,Santa Barbara,California,93101,www.americanrivierabank.com,Santa Barbara, ,"Santa Maria-Santa Barbara, CA"
"$180,097,000",Mission National Bank,3060 Sixteenth Street,San Francisco,California,94103,http://www.mnbsf.com,San Francisco,Mnb Holdings Corporation,"San Francisco-Oakland-Hayward, CA"
"$178,615,000",Bank of Rio Vista,101 Main Street,Rio Vista,California,94571,http://www.bankofriovista.com,Solano, ,"Vallejo-Fairfield, CA"
"$177,137,000",Pinnacle Bank,"18181 Butterfield Blvd., Ste 135",Morgan Hill,California,95037,http://www.pinnaclebankonline.com,Santa Clara, ,"San Jose-Sunnyvale-Santa Clara, CA"
"$175,741,000",Community Bank of Santa Maria,1421 South Broadway,Santa Maria,California,93454,http://WWW.YOURCBSM.COM,Santa Barbara, ,"Santa Maria-Santa Barbara, CA"
"$172,676,000",First Federal Savings and Loan Association of San Rafael,1030 Third St,San Rafael,California,94901,www.ffsavings.com,Marin, ,"San Francisco-Oakland-Hayward, CA"
"$171,236,000","Frontier Bank, FSB",74175 El Paseo Drive,Palm Desert,California,92260,www.elpaseobank.com,Riverside, ,"Riverside-San Bernardino-Ontario, CA"
